mkb_code,letter_idx,hierarchy_idx,global_idx,description
A00,2,2,2,Холера
A00.0,2,2,3,"Холера, вызванная холерным вибрионом 01, биовар cholerae"
A00.1,2,2,4,"Холера, вызванная холерным вибрионом 01, биовар eltor"
A00.9,2,2,5,Холера неуточненная
A01,2,2,6,Тиф и паратиф
A01.0,2,2,7,Брюшной тиф
A01.1,2,2,8,Паратиф A
A01.2,2,2,9,Паратиф B
A01.3,2,2,10,Паратиф C
A01.4,2,2,11,Паратиф неуточненный
A02,2,2,12,Другие сальмонеллезные инфекции
A02.0,2,2,13,Сальмонеллезный энтерит
A02.1,2,2,14,Сальмонеллезный сепсис
A02.2,2,2,15,Локализованная сальмонеллезная инфекция
A02.8,2,2,16,Другая уточненная сальмонеллезная инфекция
A02.9,2,2,17,Сальмонеллезная инфекция неуточненная
A03,2,2,18,Шигеллез
A03.0,2,2,19,"Шигеллез, вызванный Shigella dysenteriae"
A03.1,2,2,20,"Шигеллез, вызванный Shigella flexneri"
A03.2,2,2,21,"Шигеллез, вызванный Shigella boydii"
A03.3,2,2,22,"Шигеллез, вызванный Shigella sonnei"
A03.8,2,2,23,Другой шигеллез
A03.9,2,2,24,Шигеллез неуточненный
A04,2,2,25,Другие бактериальные кишечные инфекции
A04.0,2,2,26,"Энтеропатогенная инфекция, вызванная Escherichia coli"
A04.1,2,2,27,"Энтеротоксигенная инфекция, вызванная Escherichia coli"
A04.2,2,2,28,"Энтероинвазивная инфекция, вызванная Escherichia coli"
A04.3,2,2,29,"Энтерогеморрагическая инфекция, вызванная Escherichia coli"
A04.4,2,2,30,"Другие кишечные инфекции, вызванные Escherichia coli"
A04.5,2,2,31,"Энтерит, вызванный Campylobacter"
A04.6,2,2,32,"Энтерит, вызванный Yersinia enterocolitica"
A04.7,2,2,33,"Энтероколит, вызванный Clostridium difficile"
A04.8,2,2,34,Другие уточненные бактериальные кишечные инфекции
A04.9,2,2,35,Бактериальная кишечная инфекция неуточненная
A05,2,2,36,"Другие бактериальные пищевые отравления, не классифицированные в других рубриках"
A05.0,2,2,37,Стафилококковое пищевое отравление
A05.1,2,2,38,Ботулизм
A05.2,2,2,39,"Пищевое отравление, вызванное Clostridium perfringens [Clostridium weichii]"
A05.3,2,2,40,"Пищевое отравление, вызванное Vibrio parahaemolyticus"
A05.4,2,2,41,"Пищевое отравление, вызванное Bacillus cereus"
A05.8,2,2,42,Другие уточненные бактериальные пищевые отравления
A05.9,2,2,43,Бактериальное пищевое отравление неуточненное
A06,2,2,44,Амебиаз
A06.0,2,2,45,Острая амебная дизентерия
A06.1,2,2,46,Хронический кишечный амебиаз
A06.2,2,2,47,Амебный недизентерийный колит
A06.3,2,2,48,Амебома кишечника
A06.4,2,2,49,Амебный абсцесс печени (K77.0*)
A06.5,2,2,50,Амебный абсцесс легкого
A06.6,2,2,51,Амебный абсцесс головного мозга (G07*)
A06.7,2,2,52,Кожный амебиаз
A06.8,2,2,53,Амебная инфекция другой локализации
A06.9,2,2,54,Амебиаз неуточненный
A07,2,2,55,Другие протозойные кишечные болезни
A07.0,2,2,56,Балантидиаз
A07.1,2,2,57,Жиардиаз [лямблиоз]
A07.2,2,2,58,Криптоспоридиоз
A07.3,2,2,59,Изоспороз
A07.8,2,2,60,Другие уточненные протозойные кишечные болезни
A07.9,2,2,61,Протозойная кишечная болезнь неуточненная
A08,2,2,62,Вирусные и другие уточненные кишечные инфекции
A08.0,2,2,63,Ротавирусный энтерит
A08.1,2,2,64,"Острая гастроэнтеропатия, вызванная норовирусом"
A08.2,2,2,65,Аденовирусный энтерит
A08.3,2,2,66,Другие вирусные энтериты
A08.4,2,2,67,Вирусная кишечная инфекция неуточненная
A08.5,2,2,68,Другие уточненные кишечные инфекции
A09,2,2,69,Другой гастроэнтерит и колит инфекционного и неуточненного происхождения
A09.0,2,2,70,Другой и неуточненный гастроэнтерит и колит инфекционного происхождения
A09.9,2,2,71,Гастроэнтерит и колит неуточненного происхождения
A15,2,3,72,"Туберкулез органов дыхания, подтвержденный бактериологически и гистологически"
A15.0,2,3,73,"Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры"
A15.1,2,3,74,"Туберкулез легких, подтвержденный только ростом культуры"
A15.2,2,3,75,"Туберкулез легких, подтвержденный гистологически"
A15.3,2,3,76,"Туберкулез легких, подтвержденный неуточненными методами"
A15.4,2,3,77,"Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически"
A15.5,2,3,78,"Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически"
A15.6,2,3,79,"Туберкулезный плеврит, подтвержденный бактериологически и гистологически"
