service_code,prefix_type,hierarchy_idx,global_idx,description
10.,5,89,2,10. РАДИОНУКЛИДНЫЕ ИССЛЕДОВАНИЯ
10.1.,5,89,3,10.1. СТАТИЧЕСКАЯ СЦИНТИГРАФИЯ
10.1.1.,5,89,4,10.1.1. Печени  с коллоидом
10.1.10.,5,89,5,10.1.10. Селезенки с коллоидом
10.1.11.,5,89,6,10.1.11. Сцинтиграфия лимфатических узлов с туморотропным РФП цитратом галия
10.1.12.,5,89,7,10.1.12. Сцинтиграфия костей скелета с технетрилом
10.1.13.,5,89,8,10.1.13. Сцинтиграфия миокарда
10.1.14.,5,89,9,10.1.14. Сцинтиграфия миокарда с функциональными пробами
10.1.2.,5,89,10,10.1.2. Почек
10.1.3.,5,89,11,10.1.3. Перфузионная сцинтиграфия головного мозга
10.1.4.,5,89,12,10.1.4. Перфузионная сцинтиграфия легких
10.1.5.,5,89,13,10.1.5. Щитовидной железы
10.1.6.,5,89,14,10.1.6. Паращитовидных желез
10.1.7.,5,89,15,10.1.7. Скелета
10.1.8.,5,89,16,10.1.8. Молочной железы
10.1.9.,5,89,17,10.1.9. Сцинтиграфия сторожевых лимфатических узлов
10.1.9.1.,5,89,18,10.1.9.1. Лимфосцинтиграфия
10.2.,5,89,19,10.2. ДИНАМИЧЕСКАЯ СЦИНТИГРАФИЯ
10.2.1.,5,89,20,10.2.1. Гепатобилиарной системы
10.2.2.,5,89,21,10.2.2. Почек
10.2.3.,5,89,22,10.2.3. Сосудов головного мозга
10.2.4.,5,89,23,10.2.4. Сосудов почек (ангионефросцинтиграфия)
10.2.5.,5,89,24,10.2.5. Определение кровотока в печени
10.2.6.,5,89,25,10.2.6. Пищевода и желудка (моторно-эвакуаторная функция)
10.2.7.,5,89,26,10.2.7. Костей скелета с определением функций почек
10.3.,5,89,27,10.3. Радиометрические исследования
10.3.1.,5,89,28,10.3.1. Радиометрия щитовидной железы
10.4.,5,89,29,10.4. РАДИОИММУНОЛОГИЧЕСКИЙ АНАЛИЗ (ИН ВИТРО)
10.4.1.,5,89,30,10.4.1. Общий Т4
10.4.2.,5,89,31,10.4.2. Общий Т3
10.4.3.,5,89,32,10.4.3. Свободный Т4
10.4.4.,5,89,33,10.4.4. Свободный Т3
10.4.5.,5,89,34,10.4.5. Тиреотропный гормон
10.4.6.,5,89,35,10.4.6. Эстрадиол
10.5.,5,89,36,10.5. ОДНОФАТОННАЯ ЭМИССИОННАЯ КТ
10.5.1.,5,89,37,10.5.1. Однофатонная эмиссионная КТ легких с уточняющей РКТ
10.5.2.,5,89,38,10.5.2. Однофатонная эмиссионная КТ молочных желез
10.5.3.,5,89,39,10.5.3. Однофатонная эмиссионная КТ костей скелета
10.5.4.,5,89,40,10.5.4. Однофатонная эмиссионная КТ костей скелета с уточняющей РКТ
10.5.5.,5,89,41,10.5.5. Однофатонная эмиссионная КТ печени и селезенки с уточняющей РКТ
10.5.6.,5,89,42,10.5.6. Однофатонная эмиссионная КТ почек с уточняющей РКТ
10.5.7.,5,89,43,10.5.7. Однофотонная эмиссионная КТ органов с меченными эритроцитами
11.,5,90,44,11. ДОЗИМЕТРИЯ
11.1.,5,90,45,11.1. КОНТРОЛЬНАЯ ВНЕПЛАНОВАЯ ПО ЗАЯВКАМ УЧ- РЕЖДЕНИЙ
11.2.,5,90,46,11.2. ПРОВЕРКА СРЕДСТВ ЗАЩИТЫ НА СВИНЦОВЫЙ ЭКВИВАЛЕНТ
11.3.,5,90,47,11.3. КОНТРОЛЬНО-РАДИЦИОННОГО ФОНА :
11.3.1.,5,90,48,11.3.1. В пределах города
11.3.2.,5,90,49,11.3.2. В сельской местности
11.4.,5,90,50,11.4. ВНЕПЛАНОВОЕ ПРОВЕДЕНИЕ ЭКСПЕРТНОЙ ОЦЕНКИ КАЧЕСТВА РЕНТГЕНОДИАГНОСТИКИ
11.4.1.,5,90,51,11.4.1. В пределах города
11.4.2.,5,90,52,11.4.2. В сельской местности
11.5.,5,90,53,11.5. CОГЛАСОВАНИЕ ПЛАНОВ РАЗМЕЩЕНИЯ
12.,5,91,54,12. ЭФФЕРЕНТНЫЕ МЕТОДЫ ЛЕЧЕНИЯ
12.1.,5,91,55,12.1. Гемодиализ
12.1.1.,5,91,56,12.1.1. Гемодиализ интермиттирующий продленный
12.1.2.,5,91,57,12.1.2. Гемодиализ интермиттирующий низкопоточный
12.1.3.,5,91,58,12.1.3. Гемодиализ продолжительный
12.1.4.,5,91,59,12.1.4. Гемодиализ интермиттирующий высокопоточный
12.1.5.,5,91,60,12.1.5. Гемофильтрация крови
12.1.5.1.,5,91,61,12.1.5.1. Гемофильтрация крови
12.1.5.2.,5,91,62,12.1.5.2. Гемофильтрация крови продолжительная
12.10.,5,91,63,12.10. Цитаферез
12.10.1.,5,91,64,12.10.1. Процедура аппаратного цитафереза
12.10.2.,5,91,65,12.10.2. Процедура аппаратного цитафереза с направленным транспортом лекарственных средств
12.10.3.,5,91,66,12.10.3. Цитаферез гемопоэтических клеток
12.10.4.,5,91,67,12.10.4. Эритроцитаферез
12.10.5.,5,91,68,12.10.5. Селективная гемосорбция липополисахаридов
12.2.,5,91,69,12.2. Гемосорбция
12.3.,5,91,70,12.3. Ультрафильтрация крови
12.3.1.,5,91,71,12.3.1. Ультрафильтрация крови
12.3.2.,5,91,72,12.3.2. Ультрафильтрация крови продленная
12.4.,5,91,73,12.4. ПЛАЗМАФЕРЕЗ
12.4.1.,5,91,74,12.4.1. Плазмаферез (среднеобъемный дискретный)
12.4.2.,5,91,75,12.4.2. Плазмаферез (среднеобъемный аппаратный)
12.4.3.,5,91,76,12.4.3. Плазмообмен
12.4.4.,5,91,77,12.4.4. Плазмофильтрация каскадная
12.5.,5,91,78,12.5. Процедура ультрафильтрации крови
12.6.,5,91,79,12.6. Низкоинтенсивная лазеротерапия (внутривенное облучение крови)
12.7.,5,91,80,12.7. Процедура озонотерапии (большая аутогемозонотерапия)
12.8.,5,91,81,12.8. Гемодиафильтрация
12.8.1.,5,91,82,12.8.1. Гемодиафильтрация
12.8.2.,5,91,83,12.8.2. Процедура гемодиафильтрации с эритропоэтинами
12.8.3.,5,91,84,12.8.3. Гемодиафильтрация продолжительная
12.8.4.,5,91,85,12.8.4. Гемодиафильтрация продленная
12.9.,5,91,86,12.9. Реинфузия крови
13.,5,92,87,13. АМБУЛАТОРНО-ПОЛИКЛИНИЧЕСКАЯ  УСЛУГА ПО ВАКЦИНАЦИИ
13.1.,5,92,88,13.1. ВЗРОСЛЫЕ И ПОДРОСТКИ ПО ГРУППАМ УЧЕТА (ГРУППА ДИСПАНСЕРНОГО УЧЕТА ОПРЕДЕЛЯЕТСЯ ПО 4 ВКЛАДЫШУ СТАТИСТИЧЕСКОГО ОТЧЕТА)
13.1.1.,5,92,89,13.1.1. Нулевая группа
13.1.10.,5,92,90,13.1.10. УА+Б без вновь выявленных
13.1.11.,5,92,91,13.1.11. УВ
13.1.2.,5,92,92,13.1.2. I BK+
13.1.3.,5,92,93,13.1.3. I BK-
13.1.4.,5,92,94,13.1.4. II
13.1.5.,5,92,95,13.1.5. III
13.1.6.,5,92,96,13.1.6. IV
13.1.7.,5,92,97,13.1.7. VII
13.1.8.,5,92,98,13.1.8. VIII Саркоидоз
13.1.8.1.,5,92,99,""13.1.8.1. Подгруппа """"А""""-впервые выявленные
13.1.8.2.,5,92,100,""13.1.8.2. Подгруппа """"Б""""-больные с обострени- ем и рецидивами
13.1.8.3.,5,92,101,""13.1.8.3. Подгруппа """"В""""-лица
13.1.9.,5,92,102,13.1.9. Вновь выявленный больной с туберку- лезом внелегочных локализаций
13.2.,5,92,103,13.2. ДЕТИ ПО ГРУППАМ УЧЕТА
13.2.1.,5,92,104,13.2.1. Нулевая группа
13.2.2.,5,92,105,13.2.2. Вновь выявленные с локальными форма- ми туберкулеза
13.2.3.,5,92,106,13.2.3. I+П без вновь выявленных
13.2.4.,5,92,107,13.2.4. III
13.2.5.,5,92,108,13.2.5. IV
13.2.6.,5,92,109,13.2.6. VI
13.2.7.,5,92,110,13.2.7. VIII Саркоидоз
13.2.7.1.,5,92,111,""13.2.7.1. Подгруппа """"А""""-впервые выявленные больные с активной формой саркоидоза любой локализации
13.2.7.2.,5,92,112,""13.2.7.2. Подгруппа """"Б""""-больные с обострени- ями и рецидивами
13.2.7.3.,5,92,113,""13.2.7.3. Подгруппа """"В""""-лица с клинически излеченным саркоидозом (неактивный саркоидоз)
13.3.,5,92,114,13.3. Вакцинация детей с целью выявления  туберкулеза (без стоимости вакцины)
13.4.,5,92,115,13.4. Обследование детей  (8-17 лет)с целью выявления туберкулеза - проба диаскинтест
14.,5,93,116,14. ФИЗИОТЕРАПЕВТИЧЕСКОЕ ЛЕЧЕНИЕ
14.1.,5,93,117,14.1. ВЗРОСЛЫМ
14.1.1.,5,93,118,14.1.1. ЭЛЕКТРОЛЕЧЕНИЕ
14.1.1.1.,5,93,119,14.1.1.1. Гальванизация при заболеваниях периферической нервной системы
14.1.1.1.1.,5,93,120,14.1.1.1.1. Гальванизация при заболеваниях органа зрения
14.1.1.10.,5,93,121,14.1.1.10. Физиопунктура токами надтональной частоты
14.1.1.10.1.,5,93,122,14.1.1.10.1. Воздействие токами надтональной частоты при заболеваниях кожи и подкожно-жировой клетчатки
14.1.1.10.10.,5,93,123,14.1.1.10.10. Воздействие токами надтональной частоты (ультратонотерапия) эндоурально при заболеваниях органа слуха
14.1.1.10.11.,5,93,124,14.1.1.10.11. Воздействие токами надтональной частоты
14.1.1.10.2.,5,93,125,14.1.1.10.2. Воздействие токами надтональной частоты (ультратонотерапия) при костной патологии
14.1.1.10.3.,5,93,126,14.1.1.10.3. Воздействие токами надтональной частоты (ультратонотерапия) при патологии полости рта и зубов
